iter	Passed	Remaining
0	166	165872
1	166	83261
2	167	55653
3	168	41847
4	168	33564
5	169	28045
6	170	24132
7	170	21165
8	171	18856
9	171	17009
10	172	15494
11	172	14242
12	173	13187
13	174	12271
14	174	11477
15	175	10783
16	175	10172
17	176	9626
18	177	9140
19	177	8701
20	178	8305
21	178	7948
22	179	7619
23	179	7316
24	180	7038
25	181	6783
26	181	6544
27	182	6321
28	182	6114
29	183	5922
30	183	5747
31	184	5581
32	185	5423
33	185	5273
34	186	5132
35	186	4998
36	187	4876
37	187	4757
38	188	4643
39	189	4536
40	189	4437
41	190	4342
42	190	4250
43	191	4162
44	192	4077
45	192	3996
46	193	3918
47	193	3843
48	194	3774
49	195	3710
50	195	3644
51	196	3580
52	196	3518
53	197	3460
54	198	3408
55	198	3353
56	199	3301
57	200	3253
58	200	3203
59	201	3156
60	202	3110
61	202	3065
62	203	3022
63	203	2981
64	204	2940
65	204	2900
66	205	2863
67	206	2826
68	206	2790
69	207	2755
70	207	2720
71	208	2686
72	208	2653
73	209	2622
74	210	2592
75	210	2564
76	211	2535
77	212	2507
78	212	2479
79	213	2452
80	213	2425
81	214	2399
82	214	2371
83	215	2346
84	215	2323
85	216	2299
86	217	2277
87	217	2254
88	218	2232
89	218	2211
90	219	2189
91	219	2168
92	220	2147
93	220	2127
94	221	2107
95	221	2088
96	222	2070
97	222	2051
98	223	2033
99	223	2014
100	224	1997
101	224	1979
102	225	1962
103	225	1945
104	226	1929
105	226	1913
106	227	1897
107	227	1882
108	228	1867
109	228	1851
110	229	1837
111	229	1822
112	230	1808
113	230	1794
114	231	1781
115	232	1768
116	232	1754
117	232	1741
118	233	1728
119	234	1716
120	234	1704
121	235	1691
122	235	1679
123	236	1667
124	236	1656
125	237	1645
126	237	1633
127	238	1623
128	238	1612
129	239	1601
130	239	1591
131	240	1580
132	241	1571
133	241	1560
134	242	1550
135	242	1540
136	243	1532
137	243	1523
138	244	1514
139	245	1505
140	245	1495
141	245	1485
142	246	1476
143	247	1468
144	247	1460
145	248	1452
146	248	1443
147	249	1435
148	249	1427
149	250	1419
150	251	1411
151	251	1403
152	252	1395
153	252	1387
154	253	1379
155	253	1372
156	254	1364
157	254	1357
158	255	1350
159	255	1343
160	256	1335
161	256	1328
162	257	1321
163	257	1314
164	258	1307
165	258	1300
166	259	1294
167	260	1287
168	260	1281
169	261	1275
170	261	1269
171	262	1262
172	262	1256
173	263	1249
174	263	1244
175	264	1238
176	265	1232
177	265	1226
178	266	1220
179	266	1215
180	267	1209
181	267	1203
182	268	1197
183	268	1192
184	269	1186
185	269	1180
186	270	1175
187	270	1170
188	271	1165
189	272	1160
190	272	1154
191	273	1149
192	273	1144
193	274	1139
194	274	1134
195	275	1129
196	275	1124
197	276	1119
198	277	1115
199	277	1110
200	278	1105
